Definition,Definition (Numbers),Display Name,Display Name (Numbers),Regular Expression,Kind/Type Order,Units/Facets (Boolean),Units/Facets (String/Enumeration),Units/Facets (Imperial),Units/Facets (Metric),Precision (Imperial),Precision (Metric),Stage,Phase,Markers,Equipment
aexReturnFilterRuntime,aexReturnFilterRuntime,Air Exchanger Return Filter Runtime,Air Exchanger Return Filter Runtime,aexReturnFilterRuntime,Number,,,hour,hour,1,1,,,blacklist,"AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnFilterRuntime,aexReturnFilterRuntime,Air Exchanger Return Filter Runtime,Air Exchanger Return Filter Runtime,aexReturnFilterRuntime,Number,,,hour,hour,1,1,,,blacklist,"AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnFlow,aexReturnFlow,Air Exchanger Return Flow,Air Exchanger Return Flow,aexReturnFlow,Number,,,cubic_feet_per_minute,liters_per_second,0,0,,,"aex,return,air,flow,sensor","AFMS,AHU,CU,DHU,DOAS,ERU,HRU,RTU"
aexReturnHumidity,aexReturnHumidity,Air Exchanger Return Humidity,Air Exchanger Return Humidity,aexReturnHumidity,Number,,,percent_relative_humidity,percent_relative_humidity,1,1,,,"aex,return,air,humidity,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnIsoDamper,aexReturnIsoDamper,Air Exchanger Return Isolation Damper Command,Air Exchanger Return Isolation Damper Command,aexReturnIsoDamper,Bool,Open/Closed,Open/Closed,percent,percent,1,1,,,"aex,return,iso,air,damper,status,cmd","AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnIsoDamperFb,aexReturnIsoDamperFb,Air Exchanger Return Isolation Damper Feedback,Air Exchanger Return Isolation Damper Feedback,aexReturnIsoDamperFb,Bool,Open/Closed,Open/Closed,percent,percent,1,1,,,"aex,return,iso,air,damper,status,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnPressure,aexReturnPressure,Air Exchanger Return Pressure,Air Exchanger Return Pressure,aexReturnPressure,Number,,,inches_of_water,pascal,2,1,,,"aex,return,air,static,pressure,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnTemp,aexReturnTemp,Air Exchanger Return Temperature,Air Exchanger Return Temperature,aexReturnTemp,Number,,,fahrenheit,celsius,1,1,,,"aex,return,air,temp,sensor","AFMS,AHU,DHU,DOAS,ERU,HRU,RTU"
aexReturnVelPressure,aexReturnVelPressure,Air Exchanger Return Velocity Pressure,Air Exchanger Return Velocity Pressure,aexReturnVelPressure,Number,,,inches_of_water,pascal,2,1,,,"aex,return,air,dynamic,pressure,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
ahuDischargeDamper,ahuDischargeDamper,AHU Discharge Damper Command,AHU Discharge Damper Command,ahuDischargeDamper,Number,Open/Closed,Open/Closed,percent,percent,1,1,,,"parent,entering,air,damper,position,cmd","DH,FPB,HP,VAV,HP"
ahuDischargeDamperFb,ahuDischargeDamperFb,AHU Discharge Damper Feedback,AHU Discharge Damper Feedback,ahuDischargeDamperFb,Number,Open/Closed,Open/Closed,percent,percent,1,1,,,"parent,entering,air,damper,position,sensor","DH,FPB,HP,VAV,HP"
ahuDischargeFanStatus,ahuDischargeFanStatus,AHU Discharge Fan Status,AHU Discharge Fan Status,ahuDischargeFanStatus,Bool,On/Off,On/Off,,,,,,,"parent,entering,air,fan,status,sensor","DH,FPB,HP,VAV,HP"
ahuDischargeFlow,ahuDischargeFlow,AHU Discharge Flow,AHU Discharge Flow,ahuDischargeFlow,Number,,,cubic_feet_per_minute,liters_per_second,0,0,,,"parent,entering,air,flow,sensor","DH,FPB,HP,VAV,HP"
ahuDischargeFlowSp,ahuDischargeFlowSp,AHU Discharge Flow Setpoint,AHU Discharge Flow Setpoint,ahuDischargeFlowSp,Number,,,cubic_feet_per_minute,liters_per_second,0,0,,,"parent,entering,air,flow,sp","DH,FPB,HP,VAV,HP"
ahuDischargePressure,ahuDischargePressure,AHU Discharge Pressure,AHU Discharge Pressure,ahuDischargePressure,Number,,,inches_of_water,pascal,2,1,,,"parent,entering,air,pressure,sensor","DH,FPB,HP,VAV,HP"
ahuDischargeTemp,ahuDischargeTemp,AHU Discharge Temperature,AHU Discharge Temperature,ahuDischargeTemp,Number,,,fahrenheit,celsius,1,1,,,"parent,entering,air,temp,sensor","DH,FPB,HP,VAV,HP"
ahuStage,ahuStage,AHU Stage Number,AHU Stage Number,ahuStage,Number,,,,,0,0,,,,
ahuXorMode,ahuXorMode,AHU Change Over Mode,AHU Change Over Mode,ahuXorMode,Str,,,,,,,,,,
airConditioner,airConditionerXXXX,Air Conditioner Command,Air Conditioner XX Command,"airConditioner(\d{0,4})",Bool,On/Off,On/Off,,,,,,,"airConditioner,status,cmd",AC
airConditionerAlarm,airConditionerXXXXAlarm,Air Conditioner Alarm,Air Conditioner XX Alarm,"airConditioner(\d{0,4})Alarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"airConditioner,common,alarm",AC
airConditionerStatus,airConditionerXXXXStatus,Air Conditioner Status,Air Conditioner XX Status,"airConditioner(\d{0,4})Status",Bool,On/Off,On/Off,,,,,,,"airConditioner,status,sensor",AC
airEnteringPressure,airEnteringPressure,Pneumatic Air Entering Pressure,Pneumatic Air Entering Pressure,airEnteringPressure,Number,,,inches_of_water,pascal,2,1,,,"air,entering,pressure,sensor",CMP
airEnteringPressure,airEnteringPressure,Pneumatic Air Entering Pressure,Pneumatic Air Entering Pressure,airEnteringPressure,Number,,,pounds_per_square_inch,kilopascal,1,1,,,"air,entering,pressure,sensor","CDA,CMP"
airLeavingPressure,airLeavingPressure,Pneumatic Air Leaving Pressure,Pneumatic Air Leaving Pressure,airLeavingPressure,Number,,,inches_of_water,pascal,2,1,,,"air,leaving,pressure,sensor",CMP
airLeavingPressure,airLeavingPressure,Pneumatic Air Leaving Pressure,Pneumatic Air Leaving Pressure,airLeavingPressure,Number,,,pounds_per_square_inch,kilopascal,1,1,,,"air,leaving,pressure,sensor","CDA,CMP"
airLeavingPressureDb,airLeavingPressureDb,Pneumatic Air Leaving Pressure Deadband,Pneumatic Air Leaving Pressure Deadband,airLeavingPressureDb,Number,,,inches_of_water,pascal,2,1,,,"air,leaving,pressure,deadband,sp",CMP
airLeavingPressureDb,airLeavingPressureDb,Pneumatic Air Leaving Pressure Deadband,Pneumatic Air Leaving Pressure Deadband,airLeavingPressureDb,Number,,,pounds_per_square_inch,kilopascal,1,1,,,"air,leaving,pressure,deadband,sp","CDA,CMP"
airLeavingPressureHiSp,airLeavingPressureHiSp,Pneumatic Air Leaving Pressure High Setpoint,Pneumatic Air Leaving Pressure High Setpoint,airLeavingPressureHiSp,Number,,,inches_of_water,pascal,2,1,,,"air,leaving,pressure,high,sp",CMP
airLeavingPressureHiSp,airLeavingPressureHiSp,Pneumatic Air Leaving Pressure High Setpoint,Pneumatic Air Leaving Pressure High Setpoint,airLeavingPressureHiSp,Number,,,pounds_per_square_inch,kilopascal,1,1,,,"air,leaving,pressure,high,sp","CDA,CMP"
airLeavingPressureLoSp,airLeavingPressureLoSp,Pneumatic Air Leaving Pressure Low Setpoint,Pneumatic Air Leaving Pressure Low Setpoint,airLeavingPressureLoSp,Number,,,inches_of_water,pascal,2,1,,,"air,leaving,pressure,low,sp",CMP
airLeavingPressureLoSp,airLeavingPressureLoSp,Pneumatic Air Leaving Pressure Low Setpoint,Pneumatic Air Leaving Pressure Low Setpoint,airLeavingPressureLoSp,Number,,,pounds_per_square_inch,kilopascal,1,1,,,"air,leaving,pressure,low,sp","CDA,CMP"
airLeavingPressureSp,airLeavingPressureSp,Pneumatic Air Leaving Pressure Setpoint,Pneumatic Air Leaving Pressure Setpoint,airLeavingPressureSp,Number,,,inches_of_water,pascal,2,1,,,"air,leaving,pressure,effective,sp",CMP
airLeavingPressureSp,airLeavingPressureSp,Pneumatic Air Leaving Pressure Setpoint,Pneumatic Air Leaving Pressure Setpoint,airLeavingPressureSp,Number,,,pounds_per_square_inch,kilopascal,1,1,,,"air,leaving,pressure,effective,sp","CDA,CMP"
airPressure,airPressure,Pneumatic Air Pressure,Pneumatic Air Pressure,airPressure,Number,,,inches_of_water,pascal,2,1,,,"air,pressure,static,sensor",CMP
airPressure,airPressureXXXX,Pneumatic Air Pressure,Pneumatic Air Pressure XX,"airPressure(\d{0,4})",Number,,,pounds_per_square_inch,kilopascal,1,1,,,"air,pressure,static,sensor","CDA,CMP"
airPressureDb,airPressureDb,Pneumatic Air Pressure Deadband,Pneumatic Air Pressure Deadband,airPressureDb,Number,,,inches_of_water,pascal,2,1,,,"air,pressure,static,deadband,sp",CMP
airPressureDb,airPressureDb,Pneumatic Air Pressure Deadband,Pneumatic Air Pressure Deadband,airPressureDb,Number,,,pounds_per_square_inch,kilopascal,1,1,,,"air,pressure,static,deadband,sp","CDA,CMP"
airPressureDelta,airPressureDelta,Pneumatic Air Pressure Delta,Pneumatic Air Pressure Delta,airPressureDelta,Number,,,inches_of_water,pascal,2,1,,,"air,pressure,delta,sensor",CMP
airPressureDelta,airPressureDelta,Pneumatic Air Pressure Delta,Pneumatic Air Pressure Delta,airPressureDelta,Number,,,pounds_per_square_inch,kilopascal,1,1,,,"air,pressure,delta,sensor","CDA,CMP"
airPressureDry,airPressureDry,Air Pressure Dry,Air Pressure Dry,airPressureDry,Number,,,pounds_per_square_inch,kilopascal,1,1,,,,
airPressureEOL,airPressureEOL,Pneumatic Air Pressure EOL,Pneumatic Air Pressure EOL,airPressureEOL,Number,,,pounds_per_square_inch,kilopascal,1,1,,,,
airPressureHiSp,airPressureHiSp,Pneumatic Air Pressure High Setpoint,Pneumatic Air Pressure High Setpoint,airPressureHiSp,Number,,,inches_of_water,pascal,2,1,,,"air,pressure,static,high,sp",CMP
airPressureHiSp,airPressureHiSp,Pneumatic Air Pressure High Setpoint,Pneumatic Air Pressure High Setpoint,airPressureHiSp,Number,,,pounds_per_square_inch,kilopascal,1,1,,,"air,pressure,static,high,sp","CDA,CMP"
airPressureLoSp,airPressureLoSp,Pneumatic Air Pressure Low Setpoint,Pneumatic Air Pressure Low Setpoint,airPressureLoSp,Number,,,inches_of_water,pascal,2,1,,,"air,pressure,static,low,sp",CMP
airPressureLoSp,airPressureLoSp,Pneumatic Air Pressure Low Setpoint,Pneumatic Air Pressure Low Setpoint,airPressureLoSp,Number,,,pounds_per_square_inch,kilopascal,1,1,,,"air,pressure,static,low,sp","CDA,CMP"
airPressureManRev,airPressureManRev,Pneumatic Air Pressure ManRev,Pneumatic Air Pressure ManRev,airPressureManRev,Number,,,pounds_per_square_inch,kilopascal,1,1,,,,
airPressureSp,airPressureSp,Pneumatic Air Pressure Setpoint,Pneumatic Air Pressure Setpoint,airPressureSp,Number,,,inches_of_water,pascal,2,1,,,"air,pressure,static,effective,sp",CMP
airPressureSp,airPressureSp,Pneumatic Air Pressure Setpoint,Pneumatic Air Pressure Setpoint,airPressureSp,Number,,,pounds_per_square_inch,kilopascal,1,1,,,"air,pressure,static,effective,sp","CDA,CMP"
airPressureWet,airPressureWet,Air Pressure Wet,Air Pressure Wet,airPressureWet,Number,,,pounds_per_square_inch,kilopascal,1,1,,,,
antiLegionellaAlarm,antiLegionellaAlarm,Anti-Legionella Alarm,Anti-Legionella Alarm,antiLegionellaAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"antiLegionella,alarm","BLR,DHWS,HWS,WS"
antiLegionellaEnable,antiLegionellaEnable,Anti- Legionella Enable Command,Anti- Legionella Enable Command,antiLegionellaEnable,Bool,Enabled/Disabled,Enabled/Disabled,,,,,,,"antiLegionella,enable,cmd","BLR,DHWS,HWS,WS"
antiLegionellaTempSp,antiLegionellaTempSp,Anti-Legionella Temperature Setpoint,Anti-Legionella Temperature Setpoint,antiLegionellaTempSp,Number,,,fahrenheit,celsius,1,1,,,"antiLegionella,temp,sp","BLR,DHWS,HWS,WS"
areaServed,areaServed,Area Served,Area Served,areaServed,Str,,,,,,,,,blacklist,"AC,AFMS,AHU,ATS,ATU,BATT,BLND,BLR,BRK,BTU,CF,CHX,CLR,CM,CMP,CRAC,CRAH,CU,CUH,CWS,DAC,DCU,DCWS,DH,DHU,DHWS,DOAS,DOOR,DRY,EC,EF,ELV,ENC,ERU,FC,FCU,FDS,FEXT,FP,FPB,FSD,FSEP,FSS,GBL,GDS,GEN,GEO,GINT,GM,HDS,HHX,HP,HRU,HT,HUM,HVHS,HVLS,HWS,INV,LDS,LS,LTGE,LTGI,MAU,MMS,MSC,NC,OF,PDU,PFC,PH,PINT,PIU,PM,PMP,PRLY,PV,PWS,REC,RECT,RF,RFG,ROS,RP,RPC,RPF,RPP,RRS,RTU,SCRB,SEC,SKYL,SM,SMEX,SMP,SMS,STS,SUP,TF,TNK,TRN,TVS,TWR,UH,UPS,UV,VAV,VBTU,VFD,VGM,VPM,VRF,VWM,WH,WM,WNDW,WS,WSS,WTHR,WTS,XFMR,ZD,ZN,FCU,HP"
assistanceButton,assistanceButton,Assistance Button (Emergency),Assistance Button (Emergency),assistanceButton,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"assistance,button,sensor","MSC,ZN"
autoReTransferEnable,autoReTransferEnable,Automatic Re-transfer Enabled,Automatic Re-transfer Enabled,autoReTransferEnable,Bool,Enabled/Disabled,Enabled/Disabled,,,,,,,,
auxHeatingEnable,auxHeatingEnable,Auxiliary Heating Enable Command,Auxiliary Heating Enable Command,auxHeatingEnable,Bool,Enabled/Disabled,Enabled/Disabled,,,,,,,"auxHeat,enable,cmd","AHU,CRAC,CRAH,DOAS,HP,RTU,HP"
auxHeatingEnableSp,auxHeatingEnableSp,Auxiliary Heating Enable Setpoint,Auxiliary Heating Enable Setpoint,auxHeatingEnableSp,Number,,,fahrenheit,celsius,1,1,,,"auxHeat,enable,sp","AHU,CRAC,CRAH,DOAS,HP,RTU,HP"
auxHeatingStage,auxHeatingStageXXXX,Auxiliary Heating Stage Command,Auxiliary Heating Stage XX Command,"auxHeatingStage(\d{0,4})",Bool,On/Off,On/Off,,,,,XX,,"auxHeat,status,cmd","AHU,CRAC,CRAH,DOAS,HP,RTU,HP"
auxHeatingStageAlarm,auxHeatingStageXXXXAlarm,Auxiliary Heating Stage Alarm,Auxiliary Heating Stage XX Alarm,"auxHeatingStage(\d{0,4})Alarm",Bool,Alarm/Normal,Alarm/Normal,,,,,XX,,"auxHeat,alarm","AHU,CRAC,CRAH,DOAS,HP,RTU,HP"
auxHeatingStageMod,auxHeatingStageXXXXMod,Auxiliary Heating Stage Modulation,Auxiliary Heating Stage XX Modulation,"auxHeatingStage(\d{0,4})Mod",Number,,,percent,percent,1,1,XX,,"auxHeat,modulation,cmd","AHU,CRAC,CRAH,DOAS,HP,RTU,HP"
auxHeatingStageOvr,auxHeatingStageXXXXOvr,Auxiliary Heating Stage Override,Auxiliary Heating Stage XX Override,"auxHeatingStage(\d{0,4})Ovr",Bool,On/Off,On/Off,,,,,XX,,"auxHeat,status,ovr","AHU,CRAC,CRAH,DOAS,HP,RTU,HP"
auxHeatingStageStatus,auxHeatingStageXXXXStatus,Auxiliary Heating Stage Status,Auxiliary Heating Stage XX Status,"auxHeatingStage(\d{0,4})Status",Bool,On/Off,On/Off,,,,,XX,,"auxHeat,status,sensor","AHU,CRAC,CRAH,DOAS,HP,RTU,HP"
balanceMode,balanceMode,Balance Mode,Balance Mode,balanceMode,Str,,Open/Closed/Maximum Flow Position/Minimum Flow Position,,,,,,,"balance,mode,sp","FPB,VAV,ZD"
batteryAlarm,batteryAlarm,Battery Alarm,Battery Alarm,batteryAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"battery,common,alarm","GEN,MSC,UPS"
batteryAlarm,batteryAlarm,Battery Alarm,Battery Alarm,batteryAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"battery,common,alarm,general","BATT,GEN,MSC,UPS"
batteryChargerAlarm,batteryChargerAlarm,Battery Charger Alarm,Battery Charger Alarm,batteryChargerAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"battery,charger,alarm","GEN,MSC,UPS"
batteryChargerAlarm,batteryChargerAlarm,Battery Charger Alarm,Battery Charger Alarm,batteryChargerAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"battery,charger,alarm","BATT,GEN,MSC,UPS"
batteryChargerFault,batteryChargerFault,Battery Charger Fault,Battery Charger Fault,batteryChargerFault,Bool,Fault/Normal,Fault/Normal,,,,,,,"battery,charger,fault","GEN,MSC,UPS"
batteryChargerFault,batteryChargerFault,Battery Charger Fault,Battery Charger Fault,batteryChargerFault,Bool,Fault/Normal,Fault/Normal,,,,,,,"battery,charger,fault","BATT,GEN,MSC,UPS"
batteryCurrent,batteryCurrent,Battery Current,Battery Current,batteryCurrent,Number,,,ampere,ampere,1,1,,N,"battery,current,sensor","GEN,MSC,UPS"
batteryCurrent,batteryCurrent,Battery Current,Battery Current,batteryCurrent,Number,,,ampere,ampere,1,1,,N,"battery,current,sensor","BATT,GEN,MSC,UPS"
batteryFault,batteryFault,Battery Fault,Battery Fault,batteryFault,Bool,Fault/Normal,Fault/Normal,,,,,,,"battery,common,fault","GEN,MSC,UPS"
batteryFault,batteryFault,Battery Fault,Battery Fault,batteryFault,Bool,Fault/Normal,Fault/Normal,,,,,,,"battery,common,fault","BATT,GEN,MSC,UPS"
batteryLevel,batteryLevel,Battery Level,Battery Level,batteryLevel,Number,,,percent,percent,1,1,,,"battery,level,sensor","BATT,GEN,MSC,UPS"
batteryLevelLoAlarm,batteryLevelLoAlarm,Battery Level Low Alarm,Battery Level Low Alarm,batteryLevelLoAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"battery,level,low,alarm","BATT,GEN,MSC,UPS"
batteryMode,batteryMode,Battery Mode,Battery Mode,batteryMode,Str,,Charging/Discharging/Floating/Resting/Unknown/Disconnected/UnderTest/CheckBattery,,,,,,,"battery,mode,sp","BATT,GEN,MSC,UPS"
batteryReplaceAlarm,batteryReplaceAlarm,Battery Replacement Alarm,Battery Replacement Alarm,batteryReplaceAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"battery,replacement,alarm","BATT,GEN,MSC,UPS"
batteryResistance,batteryResistance,Battery Resistance,Battery Resistance,batteryResistance,Number,,,ohm,ohm,1,1,,,"battery,resistance,sensor","BATT,GEN,MSC,UPS"
batteryResistanceHiAlarm,batteryResistanceHiAlarm,Battery Resistance High Alarm,Battery Resistance High Alarm,batteryResistanceHiAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"battery,resistance,high,alarm","BATT,GEN,MSC,UPS"
batteryStatus,batteryStatus,Battery Status,Battery Status,batteryStatus,Bool,Charged/Uncharged,Charged/Uncharged,,,,,,,"battery,status,sensor","BATT,GEN,MSC,UPS"
batteryTemp,batteryTemp,Battery Temperature,Battery Temperature,batteryTemp,Number,,,fahrenheit,celsius,1,1,,,"battery,temp,sensor","BATT,GEN,MSC,UPS"
batteryTempAlarm,batteryTempAlarm,Battery Temperature Alarm,Battery Temperature Alarm,batteryTempAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"battery,temp,common,alarm","BATT,GEN,MSC,UPS"
batteryTempHiAlarm,batteryTempHiAlarm,Battery Temperature High Alarm,Battery Temperature High Alarm,batteryTempHiAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"battery,temp,high,alarm","BATT,GEN,MSC,UPS"
batteryTempHiSp,batteryTempHiSp,Battery Temperature High Setpoint,Battery Temperature High Setpoint,batteryTempHiSp,Number,,,fahrenheit,celsius,1,1,,,"battery,temp,high,sp","BATT,GEN,MSC,UPS"
batteryTempLoAlarm,batteryTempLoAlarm,Battery Temperature Low Alarm,Battery Temperature Low Alarm,batteryTempLoAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"battery,temp,low,alarm","BATT,GEN,MSC,UPS"
batteryTempLoSp,batteryTempLoSp,Battery Temperature Low Setpoint,Battery Temperature Low Setpoint,batteryTempLoSp,Number,,,fahrenheit,celsius,1,1,,,"battery,temp,low,sp","BATT,GEN,MSC,UPS"
batteryTime,batteryTime,Battery Time,Battery Time,batteryTime,Number,,,minute,minute,0,0,,,"battery,time,sensor","BATT,GEN,MSC,UPS"
batteryTime,batteryTime,Battery Time,Battery Time,batteryTime,Number,,,minute,minute,0,0,,,"battery,time,sensor","BATT,GEN,MSC,UPS"
batteryVoltage,batteryVoltage,Battery Voltage,Battery Voltage,batteryVoltage,Number,,,volt,volt,1,1,,N,"battery,volt,sensor","BATT,GEN,MSC,UPS"
batteryVoltageAvg,batteryVoltageAvg,Battery Voltage (Average),Battery Voltage (Average),batteryVoltageAvg,Number,,,volt,volt,1,1,,,"battery,volt,avg,calc","BATT,GEN,MSC,UPS"
batteryVoltageHiAlarm,batteryVoltageHiAlarm,Battery Voltage High Alarm,Battery Voltage High Alarm,batteryVoltageHiAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"battery,volt,high,alarm","BATT,GEN,MSC,UPS"
batteryVoltageHiSp,batteryVoltageHiSp,Battery Voltage High Setpoint,Battery Voltage High Setpoint,batteryVoltageHiSp,Number,,,volt,volt,1,1,,,"battery,volt,high,sp","BATT,GEN,MSC,UPS"
batteryVoltageLoAlarm,batteryVoltageLoAlarm,Battery Voltage Low Alarm,Battery Voltage Low Alarm,batteryVoltageLoAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"battery,volt,low,alarm","BATT,GEN,MSC,UPS"
batteryXXMode,,Battery XX Mode,,,Bool,,,,,,,,,,
blind,blind,Blind Command,Blind Command,blind,Bool,Open/Closed,Open/Closed,percent,percent,1,1,,,"blind,status,cmd",BLND
blindFb,blindFb,Blind Feedback,Blind Feedback,blindFb,Bool,Open/Closed,Open/Closed,percent,percent,1,1,,,"blind,status,sensor",BLND
blowDownValve,blowDownValve,Blow Down Valve Command,Blow Down Valve Command,blowDownValve,Bool,Open/Closed,Open/Closed,percent,percent,1,1,,,"blowDown,valve,position,cmd",BLR
blowDownValveFb,blowDownValveFb,Blow Down Valve Feedback,Blow Down Valve Feedback,blowDownValveFb,Bool,Open/Closed,Open/Closed,percent,percent,1,1,,,"blowDown,valve,position,sensor",BLR
boiler,boiler,Boiler Command,Command,boiler,Bool,On/Off,On/Off,,,,,,,"boiler,status,common,cmd",BLR
boilerAlarm,boilerAlarm,Boiler Alarm,Alarm,boilerAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"boiler,common,alarm",BLR
boilerAlarmReset,boilerAlarmReset,Boiler Alarm Reset,Alarm Reset,boilerAlarmReset,Bool,Reset/Normal,Reset/Normal,,,,,,,"boiler,reset,alarm",BLR
boilerDelayOnSp,boilerDelayOnSp,Boiler Delay-On Setpoint,Delay-On Setpoint,boilerDelayOnSp,Number,,,minute,minute,0,0,,,"boiler,delay,on,sp",HWS
boilerDemand,boilerDemand,Boiler Percent of Max Output,Percent of Max Output,boilerDemand,Number,,,percent,percent,1,1,,,"boiler,demand,sensor",BLR
boilerEfficiency,boilerEfficiency,Boiler Efficiency of Combustion,Efficiency of Combustion,boilerEfficiency,Number,,,percent,percent,1,1,,,"boiler,efficiency,sensor",BLR
boilerEnable,boilerEnable,Boiler Enable Command,Enable Command,boilerEnable,Bool,Enabled/Disabled,Enabled/Disabled,,,,,,,"boiler,enable,cmd",BLR
boilerFault,boilerFault,Boiler Fault,Fault,boilerFault,Bool,Fault/Normal,Fault/Normal,,,,,,,"boiler,fault",BLR
boilerFlameFailAlarm,boilerFlameFailAlarm,Boiler Flame Alarm,Flame Alarm,boilerFlameFailAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"boiler,flame,alarm",BLR
boilerHandMode,boilerHandMode,Boiler Hand/Auto Mode,Hand/Auto Mode,boilerHandMode,Bool,Hand/Auto,Hand/Auto,,,,,,,"boiler,handMode,sensor",BLR
boilerLagEnable,boilerLagEnable,Boiler Lag Enable,Boiler Lag Enable,boilerLagEnable,Bool,Enabled/Disabled,Enabled/Disabled,,,,,,,"boiler,lag,enable,cmd",HWS
boilerLagReq,boilerLagReq,Boiler Lag Request,Boiler Lag Request,boilerLagReq,Bool,Request/No Request,Request/No Request,,,,,,,"boiler,lag,request,cmd",HWS
boilerLead,boilerLead,Boiler Lead,Lead,boilerLead,Bool,Lead 1/Lead 2,Lead 1/Lead 2,,,,,,,"boiler,lead,sp",HWS
boilerLeadXor,boilerLeadXor,Boiler Lead Change Over,Lead Change Over,boilerLeadXor,Bool,On/Off,On/Off,,,,,,,"boiler,lead,changeOver,cmd",HWS
boilerLeadXorRuntimeSp,boilerLeadXorRuntimeSp,Boiler Lead Change Over Runtime Setpoint,Lead Change Over Runtime Setpoint,boilerLeadXorRuntimeSp,Number,,,hour,hour,1,1,,,blacklist,HWS
boilerLoad,boilerLoad,Boiler Actual Energy Production,Actual Energy Production,boilerLoad,Number,,,percent,percent,1,1,,,"boiler,load,sensor",BLR
boilerMaintSwitch,boilerMaintSwitch,Boiler Maintenance Switch,Maintenance Switch,boilerMaintSwitch,Bool,On/Off,On/Off,,,,,,,"boiler,maintenance,switch,cmd",BLR
boilerMinOffSp,boilerMinOffSp,Boiler Minimum Off Setpoint,Minimum Off Setpoint,boilerMinOffSp,Number,,,second,second,0,0,,,"boiler,min,off,sp",HWS
boilerMinOnSp,boilerMinOnSp,Boiler Minimum On Setpoint,Minimum On Setpoint,boilerMinOnSp,Number,,,second,second,0,0,,,"boiler,min,on,sp",HWS
boilerOvr,boilerOvr,Boiler Override,Override,boilerOvr,Bool,On/Off,On/Off,,,,,,,"boiler,status,ovr",BLR
boilerReq,boilerReq,Boiler Request,Request,boilerReq,Bool,Request/No Request,Request/No Request,,,,,,,"boiler,common,request,cmd",HWS
boilerRuntime,boilerRuntime,Boiler Runtime,Runtime,boilerRuntime,Number,,,hour,hour,1,1,,,blacklist,BLR
boilerRuntime,boilerRuntime,Boiler Runtime,Runtime,boilerRuntime,Number,,,hour,hour,1,1,,,blacklist,BLR
boilerRuntimeAlarm,boilerRuntimeAlarm,Boiler Runtime Alarm,Boiler Runtime Alarm,boilerRuntimeAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,,
boilerStage,boilerStageXXXX,Boiler Stage,Stage XX,"boilerStage(\d{0,4})",Bool,On/Off,On/Off,,,,,XX,,"boiler,status,cmd",HWS
boilerStageAlarm,boilerStageXXXXAlarm,Boiler Stage Alarm,Stage XX Alarm,"boilerStage(\d{0,4})Alarm",Bool,Alarm/Normal,Alarm/Normal,,,,,XX,,"boiler,alarm",HWS
boilerStageOffSp,boilerStageXXXXOffSp,Boiler Stage Off Setpoint,Stage XX Off Setpoint,"boilerStage(\d{0,4})OffSp",Number,,,fahrenheit,celsius,1,1,XX,,"boiler,off,sp",HWS
boilerStageOnSp,boilerStageXXXXOnSp,Boiler Stage On Setpoint,Stage XX On Setpoint,"boilerStage(\d{0,4})OnSp",Number,,,fahrenheit,celsius,1,1,XX,,"boiler,on,sp",HWS
boilerStageUpSp,boilerStageUpSp,Boiler Stage Up Setpoint,Stage Up Setpoint,boilerStageUpSp,Number,,,percent,percent,1,1,,,"boiler,stageUp,effective,sp",HWS
boilerStarts,boilerStarts,Boiler Starts,Starts,boilerStarts,Number,,,,,0,0,,,"boiler,starts,sensor",BLR
boilerStatus,boilerStatus,Boiler Status,Status,boilerStatus,Bool,On/Off,On/Off,,,,,,,"boiler,status,common,sensor",BLR
boosterPump,boosterPumpXXXX,Booster Pump Command,Booster Pump XX Command,"boosterPump(\w{0,4}(?=[A-Z]|$))",Bool,On/Off,On/Off,,,,,,,"booster,water,pump,status,cmd","DCWS,DHWS"
